timestep,time_elapsed,ego_velocity,target_speed,distance_to_lead,lead_speed
0,0.0,3.965587123025458e-08,20,100.0,8.450765986761892e-08
1,0.1,6.716463810677498e-08,20,100.0,8.683488502107786e-08
2,0.2,3.835042595050398e-08,20,100.0,5.7829112085720605e-08
3,0.30000000000000004,2.292392891954759e-07,20,100.0,2.1136708016921832e-07
4,0.4,1.2661468436427779e-07,20,100.0,3.262654121071128e-08
5,0.5,1.2944453708691833e-07,20,100.0,1.653019442870887e-07
6,0.6000000000000001,1.0487034455590738e-07,20,100.0,1.104899446587664e-07
7,0.7000000000000001,1.0207697565014633e-07,20,100.0,3.1936931811442665e-08
8,0.8,1.1133131162543131e-07,20,100.0,5.6639609608768205e-08
9,0.9,6.300987992728575e-08,20,100.0,4.2193157378837636e-08
10,1.0,4.9443696870952474e-08,20,100.0,4.2704916405515135e-08
11,1.1,1.1474968021627162e-07,20,100.0,3.270544974748672e-08
12,1.2000000000000002,4.901443135683818e-08,20,100.0,5.762045839921e-09
13,1.3,2.4962807351874164e-08,20,100.0,2.3039789802279533e-09
14,1.4000000000000001,8.204963486634583e-08,20,100.0,4.7827561670489045e-08
15,1.5,3.844740889042636e-09,20,100.00808715820494,0.20026127090050333
16,1.6,1.547393669630994e-08,20,100.03787231445312,0.35738858080475194
17,1.7000000000000002,2.3786166316964624e-08,20,100.07952880865702,0.46129872212521045
18,1.8,3.017931567030409e-08,20,100.13046264679612,0.5628700029739637
19,1.9000000000000001,4.252042998730865e-09,20,100.1885070811502,0.637022406890606
20,2.0,1.3835855082553777e-08,20,100.25656128228755,0.7557597969222881
21,2.1,1.8993100489379722,20,100.25439453527503,0.857153015442205
22,2.2,4.2193775260569675,20,100.01358032241956,0.9596526616362082
23,2.3000000000000003,5.846866192238834,20,99.59075928290906,1.0282357744544133
24,2.4000000000000004,6.9236496131293706,20,99.05264285392435,1.1579053548073726
25,2.5,7.304104208331126,20,98.45584116032609,1.2672690314540167
26,2.6,7.610815775720605,20,97.8447877884998,1.3716522492767271
27,2.7,8.057159503293942,20,97.20397981743197,1.467250034244553
28,2.8000000000000003,8.60484665779473,20,96.52059986720451,1.5551074113612908
29,2.9000000000000004,9.221169920593733,20,95.78610301855797,1.6332710521022238
30,3.0,9.921131583842824,20,94.99276833189974,1.7009316296146344
31,3.1,10.631641829121648,20,94.13226451705404,1.7580727084177763
32,3.2,11.235158057276575,20,93.2124651138582,1.8048367949583344
33,3.3000000000000003,11.772652163243041,20,92.24045020502483,1.8448295781037465
34,3.4000000000000004,12.227095298246228,20,91.22232330869444,1.87586872495258
35,3.5,12.545681426142172,20,90.16931489397925,1.8978698138862677
36,3.6,12.656120901583327,20,89.09784341199946,1.9134074365229343
37,3.7,12.651713881385994,20,88.0279283801549,1.9179125389684608
38,3.8000000000000003,12.641668765844374,20,86.95850167873793,1.910260042544661
39,3.9000000000000004,12.631571220822453,20,85.8884341662969,1.8931335322624747
40,4.0,12.621517555146083,20,84.81598634152367,1.8523837338254707
41,4.1000000000000005,13.030273053748108,20,83.72599099080847,1.8079451643443598
42,4.2,13.816962046795796,20,82.55045502210031,1.7151156081931263
43,4.3,14.475011321840308,20,81.24845490521938,0.24172686977159927
44,4.4,15.059569226545113,20,79.76881229987661,0.00022023202909390456
45,4.5,15.37499470029324,20,78.24104377857522,0.0004928942592281076
46,4.6000000000000005,15.089271908268092,20,76.717425900476,0.0003319081426034235
47,4.7,14.54325842594302,20,75.24175131313447,0.00016522705769042765
48,4.800000000000001,14.249347689312275,20,73.80907617569454,0.0
49,4.9,14.349622182833887,20,72.38091791069903,0.0
50,5.0,14.651043274982413,20,70.92938354041127,0.0
51,5.1000000000000005,14.889382352722828,20,69.4469657969309,0.0
52,5.2,14.751186861163278,20,67.96418219124037,0.0
53,5.300000000000001,14.567850082338623,20,66.50160153669479,0.0
54,5.4,14.677924450449641,20,65.04103543009965,0.0
55,5.5,14.952926718357057,20,63.558008899114846,0.0
56,5.6000000000000005,15.101107060808559,20,62.05044681057003,0.0
57,5.7,15.085630717314407,20,60.54196970304429,0.0
58,5.800000000000001,15.071433285709865,20,59.034957991674865,0.0
59,5.9,15.057734650231179,20,57.529106540362974,0.0
60,6.0,15.044296382193469,20,56.02453745880414,0.0
61,6.1000000000000005,15.263562917198662,20,54.51606285924899,0.0
62,6.2,15.772640347586341,20,52.956380875352586,0.0
63,6.300000000000001,15.617509395379269,20,51.38131902161591,0.0
64,6.4,15.041010699916606,20,49.85160689771562,0.0
65,6.5,14.586371081577227,20,48.37731523526449,0.0
66,6.6000000000000005,14.468463417324164,20,46.928781219516026,0.0
67,6.7,14.669158179791838,20,45.471764526278854,0.0
68,6.800000000000001,14.918923326892076,20,43.98862632007523,0.0
69,6.9,14.966361074223112,20,42.4913295305966,0.0
70,7.0,14.903810314264332,20,40.99928328703468,0.0
71,7.1000000000000005,15.062025292134159,20,39.502050880258096,0.0
72,7.2,15.388095960064364,20,37.97802643573233,0.0
73,7.300000000000001,15.480851423230389,20,36.42788170435872,0.0
74,7.4,14.99259452756977,20,34.90508287801471,0.0
75,7.5,14.266675750107984,20,33.44698287801285,0.0
76,7.6000000000000005,13.455379177974084,20,32.06664293037897,0.0
77,7.7,12.622417063472751,20,30.768548935717988,0.0
78,7.800000000000001,11.795630039128634,20,29.555660745009714,0.06851740229013542
79,7.9,11.037939756407361,20,28.420471089361293,0.0625798632590709
80,8.0,10.353780772826482,20,27.35651022063749,0.058487260898980924
81,8.1,9.769521280953487,20,26.355263782508388,0.055931122227699796
82,8.200000000000001,9.197460196855308,20,25.411604867482914,0.05473070200829375
83,8.3,8.677918070021802,20,24.522481566174715,0.05479459473459512
84,8.4,8.197183891811042,20,23.683194152236428,0.05667917066053328
85,8.5,7.923963629824955,20,22.883366783395743,0.07605246492826731
86,8.6,7.730003911462116,20,22.10575820028967,0.09547180887932681
87,8.700000000000001,7.533001932511497,20,21.350246471112474,0.12035321414502327
88,8.8,7.331220585794145,20,20.62024814645799,0.11583060310454321
89,8.9,7.125632629260511,20,19.916557894936474,0.1938781637962245
90,9.0,6.332938108902846,20,19.26221446704859,0.2853393563218753
91,9.1,5.679552017704684,20,18.69432364063864,0.3512203320492507
92,9.200000000000001,3.8550073380424643,20,18.236195724865507,0.354661063710779
93,9.3,3.663073024228374,20,17.905503138539032,0.3941198240322758
94,9.4,3.5194058757009006,20,17.592509091882345,0.5431066610586109
95,9.5,3.3757220125442613,20,17.301334167669456,0.6144317042452788
96,9.600000000000001,3.2400678680856747,20,17.03365526194139,0.7038696662343649
97,9.700000000000001,3.1127817629759993,20,16.78919942381964,0.7670367518495662
98,9.8,2.993482943045848,20,16.567258771662388,0.9067065322551162
99,9.9,2.8817610880121896,20,16.36671335931159,0.9766055330466075
100,10.0,2.7772666763928466,20,16.187800501280673,1.0939475424196226
101,10.100000000000001,2.6797078818473192,20,16.03061394233649,1.1916582371256623
102,10.200000000000001,2.5876980579618603,20,15.89396811869578,1.2928173769657187
103,10.3,2.5020690495308733,20,15.776332048161576,1.394954472492922
104,10.4,2.4225192567914613,20,15.676789684145819,1.489701392492583
