timestep,time_elapsed,ego_velocity,target_speed,distance_to_lead,lead_speed
0,0.0,4.5519312504591316e-08,20,100.0,8.450765986761892e-08
1,0.1,4.061929453582731e-07,20,100.0,8.683488502107786e-08
2,0.2,1.9155523852942626e-07,20,100.0,5.7829112085720605e-08
3,0.30000000000000004,1.4251297405002475e-07,20,100.0,2.1136708016921832e-07
4,0.4,2.2233770478767034e-07,20,100.0,3.262654121071128e-08
5,0.5,9.914109381358496e-08,20,100.0,1.653019442870887e-07
6,0.6000000000000001,5.220871725190641e-08,20,100.0,1.104899446587664e-07
7,0.7000000000000001,0.0,20,100.0,3.1936931811442665e-08
8,0.8,4.557341366692179e-08,20,100.0,5.6639609608768205e-08
9,0.9,7.713858812979022e-08,20,100.0,4.2193157378837636e-08
10,1.0,2.8538405064404796e-08,20,100.0,4.2704916405515135e-08
11,1.1,7.017254190678537e-08,20,100.0,3.270544974748672e-08
12,1.2000000000000002,8.136844008405899e-09,20,100.0,5.762045839921e-09
13,1.3,1.6465655825077674e-08,20,100.01089477539062,0.23668687049724726
14,1.4000000000000001,2.722074148714824e-08,20,100.04196166998304,0.4086645313463264
15,1.5,3.5886393905840067e-08,20,100.08551025400577,0.4751559098305624
16,1.6,9.673783637670202e-09,20,100.13952636773115,0.5777099720905579
17,1.7000000000000002,9.171580963619333e-09,20,100.20266723744462,0.6614469360734029
18,1.8,8.265060748389451e-09,20,100.27804565627227,0.8102634043712648
19,1.9000000000000001,9.354225469932986e-08,20,100.36520386127354,0.9389221014159969
20,2.0,5.337604843709104e-09,20,100.46069336726218,1.018100915324662
21,2.1,1.8217061830075016,20,100.48706055544335,1.0670505074177998
22,2.2,4.021397752717952,20,100.28201294232638,1.0990859793632604
23,2.3000000000000003,5.604288169505144,20,99.8950195315721,1.1178707787352373
24,2.4000000000000004,6.702538403040574,20,99.30749513258985,0.0005377415250312435
25,2.5,7.2367745280937,20,98.59869391106928,0.0002491021494762406
26,2.6,7.459527080676368,20,97.86312881044586,0.0002720983614952033
27,2.7,7.840509928867069,20,97.09606961318835,0.00016097583260873862
28,2.8000000000000003,8.334013296696517,20,96.28399704157006,0.0
29,2.9000000000000004,8.899211264190631,20,95.41845773757468,0.0
30,3.0,9.516313133454615,20,94.49377544636039,0.0
31,3.1,10.214608260507994,20,93.5032973533424,0.0
32,3.2,10.840652809291722,20,92.44629105657192,0.0
33,3.3000000000000003,11.377712589905995,20,91.33215598408873,0.0
34,3.4000000000000004,11.86054532043238,20,90.16766705311191,0.0
35,3.5,12.309511058681958,20,88.9567305325989,0.0
36,3.6,12.489615079079607,20,87.71295726917641,0.0
37,3.7,12.481814075027025,20,86.46875691382955,0.0
38,3.8000000000000003,12.472101862357839,20,85.22541120874898,0.0
39,3.9000000000000004,12.462400117310409,20,83.98298119770344,0.0
40,4.0,12.452715527655355,20,82.74146688735077,0.0
41,4.1000000000000005,12.912522557378038,20,81.48579262671706,0.0
42,4.2,13.77856386746256,20,80.14466949908474,0.0
43,4.3,14.474205058087941,20,78.72725281473409,0.0
44,4.4,15.06675853615803,20,77.24654309870836,0.0
45,4.5,15.59806018873322,20,75.71029185713022,0.0
46,4.6000000000000005,16.09211692427225,20,74.1240228148002,0.05293338759938224
47,4.7,16.56233744583197,20,72.48935347188875,0.05012933344157431
48,4.800000000000001,17.016158531496224,20,70.80829804653264,0.04878099561548863
49,4.9,17.457707700457963,20,69.08232146724869,0.048721886589174576
