timestep,time_elapsed,ego_velocity,target_speed,distance_to_lead,lead_speed
0,0.0,3.965587123025458e-08,20,100.0,8.450765986761892e-08
1,0.1,6.716463810677498e-08,20,100.0,8.683488502107786e-08
2,0.2,3.835042595050398e-08,20,100.0,5.7829112085720605e-08
3,0.30000000000000004,2.292392891954759e-07,20,100.0,2.1136708016921832e-07
4,0.4,1.2661468436427779e-07,20,100.0,3.262654121071128e-08
5,0.5,1.2944453708691833e-07,20,100.0,1.653019442870887e-07
6,0.6000000000000001,1.0487034455590738e-07,20,100.0,1.104899446587664e-07
7,0.7000000000000001,1.0207697565014633e-07,20,100.0,3.1936931811442665e-08
8,0.8,1.1133131162543131e-07,20,100.0,5.6639609608768205e-08
9,0.9,6.300987992728575e-08,20,100.0,4.2193157378837636e-08
10,1.0,4.9443696870952474e-08,20,100.0,4.2704916405515135e-08
11,1.1,1.1474968021627162e-07,20,100.0,3.270544974748672e-08
12,1.2000000000000002,4.901443135683818e-08,20,100.0,5.762045839921e-09
13,1.3,2.4962807351874164e-08,20,100.0,2.3039789802279533e-09
14,1.4000000000000001,8.204963486634583e-08,20,100.0,4.7827561670489045e-08
15,1.5,3.844740889042636e-09,20,100.01303100586463,0.21059598926414258
16,1.6,1.547393669630994e-08,20,100.04516601571156,0.38993576756888193
17,1.7000000000000002,2.3786166316964624e-08,20,100.08926391671379,0.5237304159396537
18,1.8,3.017931567030409e-08,20,100.14160156301878,0.5891236581987397
19,1.9000000000000001,4.252042998730865e-09,20,100.20254516747978,0.6638932888382939
20,2.0,1.3835855082553777e-08,20,100.27316284346232,0.7388718126585199
21,2.1,1.8924641930323316,20,100.27288818648172,0.8465839265002995
22,2.2,4.14375808200974,20,100.03668212904388,0.9464619875255682
23,2.3000000000000003,5.658184049908204,20,99.63168335345581,1.099216909854617
24,2.4000000000000004,6.390472120442897,20,99.1269531476907,1.2149347944319873
25,2.5,6.5950758618021865,20,98.6050415637417,1.3315197546557438
26,2.6,6.970910444337998,20,98.06359875004631,1.4447508592984133
27,2.7,7.478532229890435,20,97.48684712346706,1.5492659530665223
28,2.8000000000000003,8.071601071941636,20,96.86312897624579,1.6399968429697416
29,2.9000000000000004,8.714906733216203,20,96.18518113212966,1.7186686105804339
30,3.0,9.399551401321302,20,95.44802923573458,1.786088662445122
31,3.1,10.16999931656339,20,94.64343355275932,1.8427400362033277
32,3.2,10.83707241215184,20,93.77218755168299,1.8924922745869366
33,3.3000000000000003,11.41095788705188,20,92.84488084087101,1.932936151889328
34,3.4000000000000004,11.930427495630969,20,91.8668845226108,1.960769324439448
35,3.5,12.339229556147092,20,90.84463781766145,1.9781354186762987
36,3.6,12.47878858815016,20,89.79727524360524,1.9859841778405591
37,3.7,12.472631556903735,20,88.75076725041079,1.9848470374412632
38,3.8000000000000003,12.46270468969669,20,87.70438141988866,1.9782143357910411
39,3.9000000000000004,12.452790247378333,20,86.65775153942684,1.966707035014562
40,4.0,12.442916825403517,20,85.60919915080548,1.9299773708730252
41,4.1000000000000005,12.866200641815134,20,84.54282461925173,1.8865673208228557
42,4.2,13.678859215087355,20,83.38913951655651,1.8173539992621286
43,4.3,14.351891707599922,20,82.15357599540589,1.699123247931253
44,4.4,14.945169079716518,20,80.7622206190582,0.001243388977422472
45,4.5,15.49188600641433,20,79.2370460822979,0.00038808713175151076
46,4.6000000000000005,16.01026536261576,20,77.65953425265555,0.00046920537034535697
47,4.7,16.510312176381518,20,76.03118053093402,0.00028571112368858896
48,4.800000000000001,16.997551097999132,20,74.35344980127222,0.0
49,4.9,17.475060593595753,20,72.62750178779282,0.0
50,5.0,17.944576353972703,20,70.85412999909778,0.0
51,5.1000000000000005,18.402369501175343,20,69.03437209989728,0.0
52,5.2,18.79118891074218,20,67.17237854437201,0.0
53,5.300000000000001,19.106682021864437,20,65.27583982184198,0.0
54,5.4,19.36233193632561,20,63.351164679138044,0.0
55,5.5,19.569214666489998,20,61.40372429527295,0.0
56,5.6000000000000005,19.66074641346067,20,59.439988459589905,0.0
57,5.7,19.64084299911387,20,57.475948414285405,0.0
58,5.800000000000001,19.62134020010951,20,55.51361840599256,0.0
59,5.9,19.601869877491765,20,53.55299856160513,0.0
60,6.0,19.582443455755392,20,51.594150043683065,0.0
61,6.1000000000000005,19.792172219639795,20,49.63206818022236,0.0
62,6.2,19.866351037283824,20,47.63989792258863,0.0
63,6.300000000000001,19.460214389814254,20,45.67507306517788,0.0
64,6.4,19.0000291816392,20,43.756880687567815,0.0
65,6.5,18.795709842803014,20,41.871954405878185,0.0
66,6.6000000000000005,18.916933795731442,20,39.98696968494613,0.0
67,6.7,19.091504424282267,20,38.0831894201427,0.0
68,6.800000000000001,19.053593876891455,20,36.173919580023494,0.0
69,6.9,18.817019100805496,20,34.280461620638114,0.0
70,7.0,18.406613902796515,20,32.421004233002286,0.0
71,7.1000000000000005,17.884497004957804,20,30.6098298299373,0.0
72,7.2,17.241791583419072,20,28.85710104276673,0.0
73,7.300000000000001,16.518605460942293,20,27.17356017057872,0.0
74,7.4,15.74565368566163,20,25.5650668346456,0.0
75,7.5,14.934679802180984,20,24.035832633173847,0.0
76,7.6000000000000005,14.092815372440253,20,22.589306144464683,0.0
77,7.7,13.225184473264429,20,21.228264496946608,0.0
78,7.800000000000001,12.371935929446533,20,19.953256954487014,0.0
79,7.9,11.541707169797096,20,18.7649241488256,0.06870588338027903
80,8.0,10.736890953590942,20,17.657162709878254,0.06286553068771085
81,8.1,10.011998508188274,20,16.625089944465046,0.058909974038973356
82,8.200000000000001,9.395715490059025,20,15.660161348365241,0.056718209217925725
83,8.3,8.813265012501653,20,14.754534533191595,0.05614929983759568
84,8.4,8.260171541349289,20,13.9057681453516,0.05716784209065709
85,8.5,7.9386918848354995,20,13.100253192600254,0.06301768928198542
86,8.6,7.639327961775853,20,12.327158926766185,0.09433825081778009
87,8.700000000000001,7.3399320646482815,20,11.586696621030342,0.10870501323496795
88,8.8,7.040877568348392,20,10.88244264331092,0.11565836831083581
89,8.9,6.742372380323347,20,10.212563212983305,0.1912362856331373
90,9.0,5.871628980256698,20,9.610316300706803,0.234775499788779
91,9.1,3.3604393860400323,20,9.185976734647726,0.2881009365849272
92,9.200000000000001,0.7476365026932514,20,9.03347035401387,0.37634544230247613
93,9.3,0.7250808154295614,20,9.021234215135408,0.43554991071395766
94,9.4,0.9414665425638459,20,8.974495869475186,0.4950339143383328
95,9.5,1.0132544167728001,20,8.92568293282317,0.6076604829704234
96,9.600000000000001,1.0569138497479806,20,8.881841782859071,0.6562126723755434
97,9.700000000000001,1.0889676481975326,20,8.843497010951591,0.7741527985086588
98,9.8,1.1118275156663178,20,8.811951397250093,0.8590873070756262
99,9.9,1.1275923827139867,20,8.78989837796531,0.9402142602847715
100,10.0,1.13960238905811,20,8.777478779562333,1.037924420833111
101,10.100000000000001,1.1497242371243972,20,8.77613834181798,1.1550954405320872
102,10.200000000000001,1.1581082484991287,20,8.786023827795962,1.2727161657089647
103,10.3,1.1651329138418898,20,8.806219125168933,1.3782000959913505
104,10.4,1.1717266361970462,20,8.835810502657312,1.4746595750862166
