timestep,time_elapsed,ego_velocity,target_speed,distance_to_lead,lead_speed
0,0.0,4.5519312504591316e-08,20,100.0,8.450765986761892e-08
1,0.1,4.061929453582731e-07,20,100.0,8.683488502107786e-08
2,0.2,1.9155523852942626e-07,20,100.0,5.7829112085720605e-08
3,0.30000000000000004,1.4251297405002475e-07,20,100.0,2.1136708016921832e-07
4,0.4,2.2233770478767034e-07,20,100.0,3.262654121071128e-08
5,0.5,9.914109381358496e-08,20,100.0,1.653019442870887e-07
6,0.6000000000000001,5.220871725190641e-08,20,100.0,1.104899446587664e-07
7,0.7000000000000001,0.0,20,100.0,3.1936931811442665e-08
8,0.8,4.557341366692179e-08,20,100.0,5.6639609608768205e-08
9,0.9,7.713858812979022e-08,20,100.0,4.2193157378837636e-08
10,1.0,2.8538405064404796e-08,20,100.0,4.2704916405515135e-08
11,1.1,7.017254190678537e-08,20,100.0,3.270544974748672e-08
12,1.2000000000000002,8.136844008405899e-09,20,100.0,5.762045839921e-09
13,1.3,1.6465655825077674e-08,20,100.0,2.3039789802279533e-09
14,1.4000000000000001,2.722074148714824e-08,20,100.0,4.7827561670489045e-08
15,1.5,3.5886393905840067e-08,20,100.01580810547603,0.29053964311570407
16,1.6,9.673783637670202e-09,20,100.04888916026687,0.4078036678268564
17,1.7000000000000002,9.171580963619333e-09,20,100.09365844729051,0.4770657858099389
18,1.8,8.265060748389451e-09,20,100.1462402357287,0.5495223380566817
19,1.9000000000000001,9.354225469932986e-08,20,100.20687866360457,0.6597901941326251
20,2.0,5.337604843709104e-09,20,100.27722168119207,0.7640725563732861
21,2.1,1.8288739021370937,20,100.28125000111561,0.8313475980391618
22,2.2,4.078379492522009,20,100.05752563476591,0.939684035437079
23,2.3000000000000003,5.736788756455844,20,99.65283203597907,1.0564753016337327
24,2.4000000000000004,6.906655897905733,20,99.12222292734718,1.196156351116947
25,2.5,7.735537585047998,20,98.50646979888226,1.3138148052983962
26,2.6,8.045043281137444,20,97.84506240212995,1.4278034301543179
27,2.7,8.354558308854584,20,97.16842676224933,1.5291035274270328
28,2.8000000000000003,8.792669133148546,20,96.46313515087768,1.6224439693653894
29,2.9000000000000004,9.32051627739182,20,95.7176519308166,1.7054723932021
30,3.0,9.92903121681234,20,94.92306597881596,1.7745112913093035
31,3.1,10.596732360566227,20,94.06964220067638,1.8317647351165838
32,3.2,11.171564422588814,20,93.16009667240806,1.8782549504096298
33,3.3000000000000003,11.67722150238557,20,92.20129585980551,1.9145324488134647
34,3.4000000000000004,12.140283536491198,20,91.19754275000756,1.9409901458085703
35,3.5,12.575839607933522,20,90.15130927984032,1.957963379706685
36,3.6,12.745873746039765,20,89.07443627443244,1.9657650753701135
37,3.7,12.738275876630887,20,87.99759388524784,1.967873423147324
38,3.8000000000000003,12.728319522981682,20,86.92172815994172,1.9649190426997838
39,3.9000000000000004,12.718346933773528,20,85.84586253852372,1.9546750925793448
40,4.0,12.708391500031011,20,84.76966133144467,1.9365938025908722
41,4.1000000000000005,13.156102077321876,20,83.67533282363911,1.8712415916713336
42,4.2,13.995104707856632,20,82.48978753290156,1.7767724670829128
43,4.3,14.673948761871912,20,81.22038023287,1.6798700286855357
44,4.4,15.256043245878637,20,79.7968901828375,0.001210449328130418
45,4.5,15.780436448094052,20,78.24205303991519,0.0003847082635313147
46,4.6000000000000005,16.269502580736926,20,76.6372895906046,0.00046303709716432635
47,4.7,16.735769147893425,20,74.9849802566951,0.00028161729849326603
